run,section,model,scope,fault_type,n_rows,support,precision,recall,f1,tp,fp,fn,tn,n_flagged,anomaly_rate,roc_auc,avg_precision,episodes,ep_detected,ep_recall,mean_score,n_estimators,contamination,random_state,train_frac,split_time,n_features,seed
stage3_iforest,detector_by_fault_type,rule_step,full series,spike,,,,0.8,,,,,,,,,,,,,,200,0.062438,42,0.7,2023-09-11 09:00:00,22,42
stage3_iforest,detector_by_fault_type,rule_step,full series,stuck_at,,,,0.0,,,,,,,,,,,,,,200,0.062438,42,0.7,2023-09-11 09:00:00,22,42
stage3_iforest,detector_by_fault_type,rule_step,full series,bias,,,,0.083,,,,,,,,,,,,,,200,0.062438,42,0.7,2023-09-11 09:00:00,22,42
stage3_iforest,detector_by_fault_type,rule_step,full series,drift,,,,0.078,,,,,,,,,,,,,,200,0.062438,42,0.7,2023-09-11 09:00:00,22,42
stage3_iforest,detector_by_fault_type,rule_step,full series,noise_burst,,,,0.143,,,,,,,,,,,,,,200,0.062438,42,0.7,2023-09-11 09:00:00,22,42
stage3_iforest,detector_by_fault_type,rule_combined,full series,spike,,,,0.8,,,,,,,,,,,,,,200,0.062438,42,0.7,2023-09-11 09:00:00,22,42
stage3_iforest,detector_by_fault_type,rule_combined,full series,stuck_at,,,,1.0,,,,,,,,,,,,,,200,0.062438,42,0.7,2023-09-11 09:00:00,22,42
stage3_iforest,detector_by_fault_type,rule_combined,full series,bias,,,,0.083,,,,,,,,,,,,,,200,0.062438,42,0.7,2023-09-11 09:00:00,22,42
stage3_iforest,detector_by_fault_type,rule_combined,full series,drift,,,,0.078,,,,,,,,,,,,,,200,0.062438,42,0.7,2023-09-11 09:00:00,22,42
stage3_iforest,detector_by_fault_type,rule_combined,full series,noise_burst,,,,0.143,,,,,,,,,,,,,,200,0.062438,42,0.7,2023-09-11 09:00:00,22,42
stage3_iforest,ablation,isolation_forest (all 22),test,ALL,,54.0,0.07096774193548387,0.2037037037037037,0.10526315789473684,,,,,155.0,0.18044237485448195,0.536231884057971,,,,,,200,0.062438,42,0.7,2023-09-11 09:00:00,22,42
stage3_iforest,ablation,isolation_forest (stationary 16),test,ALL,,54.0,0.09844559585492228,0.35185185185185186,0.15384615384615385,,,,,193.0,0.22467986030267753,0.6910052910052911,,,,,,200,0.062438,42,0.7,2023-09-11 09:00:00,22,42
stage3_iforest,ablation,isolation_forest (all 22),full series,ALL,,179.0,0.1357142857142857,0.2122905027932961,0.1655773420479303,,,,,280.0,0.09786787836420832,0.6990426555684701,,,,,,200,0.062438,42,0.7,2023-09-11 09:00:00,22,42
stage3_iforest,ablation,isolation_forest (stationary 16),full series,ALL,,179.0,0.14465408805031446,0.2569832402234637,0.1851106639839034,,,,,318.0,0.11114994757077945,0.7369364978191044,,,,,,200,0.062438,42,0.7,2023-09-11 09:00:00,22,42
stage3_iforest,ablation_by_fault_type,isolation_forest (stationary),full series,spike,,,,0.867,,,,,,,,,,,,,,200,0.062438,42,0.7,2023-09-11 09:00:00,22,42
stage3_iforest,ablation_by_fault_type,isolation_forest (stationary),full series,stuck_at,,,,0.095,,,,,,,,,,,,,,200,0.062438,42,0.7,2023-09-11 09:00:00,22,42
stage3_iforest,ablation_by_fault_type,isolation_forest (stationary),full series,bias,,,,0.417,,,,,,,,,,,,,,200,0.062438,42,0.7,2023-09-11 09:00:00,22,42
stage3_iforest,ablation_by_fault_type,isolation_forest (stationary),full series,drift,,,,0.176,,,,,,,,,,,,,,200,0.062438,42,0.7,2023-09-11 09:00:00,22,42
stage3_iforest,ablation_by_fault_type,isolation_forest (stationary),full series,noise_burst,,,,0.143,,,,,,,,,,,,,,200,0.062438,42,0.7,2023-09-11 09:00:00,22,42
